region,flow,entity,budget_item,source,value
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Central Inland Freight Handling Committee,Other Income,0.002
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Other Income,6571.267
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Budget Department,Union Govt's Support Income,48175.258
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Ordinary Expenditure,7388.101
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Ordinary Expenditure,118.659
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Ordinary Expenditure,725.693
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Ordinary Expenditure,507.127
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Ordinary Expenditure,1514.833
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Ordinary Expenditure,27.617
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Ordinary Expenditure,475.671
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Ordinary Expenditure,210.343
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Ordinary Expenditure,763.766
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Ordinary Expenditure,249.661
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Ordinary Expenditure,49.155
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Ordinary Expenditure,353.047
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Ordinary Expenditure,120.957
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Ordinary Expenditure,3909.492
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Central Inland Freight Handling Committee,Ordinary Expenditure,45.974
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Ordinary Expenditure,3079.666
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Capital Expenditure,1314.575
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Capital Expenditure,138.491
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Capital Expenditure,26.28
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Capital Expenditure,80.168
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Capital Expenditure,47.62
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Capital Expenditure,183.288
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Capital Expenditure,5.08
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Capital Expenditure,42.837
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Capital Expenditure,35697.641
Ayeyawady,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Capital Expenditure,4149.039
Ayeyawady,income,State Owned Enterprises,Myanma Motion Picture Enterprise,Other Income,43.887
Ayeyawady,income,State Owned Enterprises,Myanma Salt & Marine Chemical Enterprise,Other Income,86.935
Ayeyawady,income,State Owned Enterprises,Public Works,Other Income,34387.707
Ayeyawady,expenditure,State Owned Enterprises,Myanma Motion Picture Enterprise,Ordinary Expenditure,38.64
Ayeyawady,expenditure,State Owned Enterprises,Myanma Salt & Marine Chemical Enterprise,Ordinary Expenditure,81.817
Ayeyawady,expenditure,State Owned Enterprises,Public Works,Ordinary Expenditure,33998.126
Ayeyawady,expenditure,State Owned Enterprises,Myanma Salt & Marine Chemical Enterprise,Capital Expenditure,46.87
Bago,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Other Income,1018.749
Bago,income,"High Court, Advocate General, Auditor General",Courts,Other Income,36.181
Bago,income,"High Court, Advocate General, Auditor General",Legal Offices,Other Income,0.553
Bago,income,"High Court, Advocate General, Auditor General",Accounting Offices,Other Income,0.556
Bago,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Income,1000
Bago,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Union Govt's Support Income,1000
Bago,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Ordinary Expenditure,451.988
Bago,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Ordinary Expenditure,199.287
Bago,expenditure,"High Court, Advocate General, Auditor General",Courts,Ordinary Expenditure,754.976
Bago,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Ordinary Expenditure,307.096
Bago,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Ordinary Expenditure,798.451
Bago,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Grants,2017.749
Bago,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Expenditure,547
Bago,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Capital Expenditure,5
Bago,expenditure,"High Court, Advocate General, Auditor General",Courts,Capital Expenditure,321.093
Bago,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Capital Expenditure,21.4
Bago,income,"Ministries, Administrative Departments, Municipals",Excise Revenue,Tax Revenue,624.378
Bago,income,"Ministries, Administrative Departments, Municipals",Land Revenue,Tax Revenue,2354.629
Bago,income,"Ministries, Administrative Departments, Municipals",Embankment Tax,Tax Revenue,1.619
Bago,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Forest,Tax Revenue,241.88
Bago,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Minerals ,Tax Revenue,15.938
Bago,income,"Ministries, Administrative Departments, Municipals",Lakes/streams tax,Tax Revenue,901.363
Bago,income,"Ministries, Administrative Departments, Municipals",Property Tax,Tax Revenue,494.873
Bago,income,"Ministries, Administrative Departments, Municipals",Wheel Tax,Tax Revenue,193.791
Bago,income,"Ministries, Administrative Departments, Municipals",Revenue from Regional State Owned Enterprises,State-Owned Enterprises,98.289
Bago,income,"Ministries, Administrative Departments, Municipals",General Administration Department,Other Income,6.21
Bago,income,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Other Income,0.016
Bago,income,"Ministries, Administrative Departments, Municipals",Cooperative Department,Other Income,4.001
Bago,income,"Ministries, Administrative Departments, Municipals",Small Enterprises,Other Income,0.41
Bago,income,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Other Income,65.871
Bago,income,"Ministries, Administrative Departments, Municipals",Agriculture Department,Other Income,18
Bago,income,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Other Income,27.113
Bago,income,"Ministries, Administrative Departments, Municipals",Fisheries Department,Other Income,30.065
Bago,income,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Other Income,10.32
Bago,income,"Ministries, Administrative Departments, Municipals",Bee Department,Other Income,0.17
Bago,income,"Ministries, Administrative Departments, Municipals",Forestry,Other Income,27.34
Bago,income,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Other Income,0.01
Bago,income,"Ministries, Administrative Departments, Municipals",Budget Department,Other Income,0.24
Bago,income,"Ministries, Administrative Departments, Municipals",Planning Department,Other Income,0.04
Bago,income,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Other Income,0.406
Bago,income,"Ministries, Administrative Departments, Municipals",Public Works,Other Income,143.786
Bago,income,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Other Income,8126.59
Bago,income,"Ministries, Administrative Departments, Municipals",Budget Department,Union Govt's Support Income,31475.908
Bago,income,"Ministries, Administrative Departments, Municipals",Budget Department,Borrowed Income,11.099
Bago,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Ordinary Expenditure,5741.139
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Ordinary Expenditure,118.404
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Ordinary Expenditure,724.122
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Ordinary Expenditure,12.751
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Ordinary Expenditure,767.457
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Ordinary Expenditure,1797.324
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Ordinary Expenditure,742.547
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Ordinary Expenditure,267.266
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Ordinary Expenditure,229.945
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Bee Department,Ordinary Expenditure,36.581
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Ordinary Expenditure,1528.637
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Ordinary Expenditure,231.414
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Ordinary Expenditure,48.167
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Ordinary Expenditure,373.03
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Ordinary Expenditure,69.158
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Ordinary Expenditure,8500
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Central Inland Freight Handling Committee,Ordinary Expenditure,6.954
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Ordinary Expenditure,3816.474
Bago,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Grants,15
Bago,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Capital Expenditure,507.139
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Capital Expenditure,60
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Capital Expenditure,25.48
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Capital Expenditure,0.18
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Capital Expenditure,82.7
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Capital Expenditure,114.994
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Capital Expenditure,3.315
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Capital Expenditure,5.367
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Capital Expenditure,100.054
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Capital Expenditure,53.696
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Capital Expenditure,10517.18
Bago,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Capital Expenditure,5204.268
Bago,income,State Owned Enterprises,Myanma Motion Picture Enterprise,Other Income,50
Bago,income,State Owned Enterprises,Public Works,Other Income,19026.117
Bago,expenditure,State Owned Enterprises,Myanma Motion Picture Enterprise,Ordinary Expenditure,37.94
Bago,expenditure,State Owned Enterprises,Public Works,Ordinary Expenditure,18843.698
Chin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Other Income,63.364
Chin,income,"High Court, Advocate General, Auditor General",Courts,Other Income,1.906
Chin,income,"High Court, Advocate General, Auditor General",Legal Offices,Other Income,0.1
Chin,income,"High Court, Advocate General, Auditor General",Accounting Offices,Other Income,0.573
Chin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Income,1000
Chin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Union Govt's Support Income,1000
Chin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Ordinary Expenditure,397.695
Chin,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Ordinary Expenditure,53.198
Chin,expenditure,"High Court, Advocate General, Auditor General",Courts,Ordinary Expenditure,373.494
Chin,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Ordinary Expenditure,236.868
Chin,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Ordinary Expenditure,541.886
Chin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Grants,1000
Chin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Expenditure,7917.65
Chin,expenditure,"High Court, Advocate General, Auditor General",Courts,Capital Expenditure,60.082
Chin,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Capital Expenditure,3.5
Chin,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Capital Expenditure,26.26
Chin,income,"Ministries, Administrative Departments, Municipals",Excise Revenue,Tax Revenue,35.863
Chin,income,"Ministries, Administrative Departments, Municipals",Land Revenue,Tax Revenue,109.221
Chin,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Forest,Tax Revenue,13.274
Chin,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Minerals ,Tax Revenue,0.088
Chin,income,"Ministries, Administrative Departments, Municipals",Property Tax,Tax Revenue,67.556
Chin,income,"Ministries, Administrative Departments, Municipals",Wheel Tax,Tax Revenue,5.544
Chin,income,"Ministries, Administrative Departments, Municipals",Revenue from Regional State Owned Enterprises,State-Owned Enterprises,139.635
Chin,income,"Ministries, Administrative Departments, Municipals",General Administration Department,Other Income,3.404
Chin,income,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Other Income,0.034
Chin,income,"Ministries, Administrative Departments, Municipals",Cooperative Department,Other Income,0.016
Chin,income,"Ministries, Administrative Departments, Municipals",Small Enterprises,Other Income,0.583
Chin,income,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Other Income,0.15
Chin,income,"Ministries, Administrative Departments, Municipals",Forestry,Other Income,1.26
Chin,income,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Other Income,1.14
Chin,income,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Other Income,0.615
Chin,income,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Other Income,329.798
Chin,income,"Ministries, Administrative Departments, Municipals",Budget Department,Union Govt's Support Income,31236.924
Chin,income,"Ministries, Administrative Departments, Municipals",Budget Department,Borrowed Income,1856.53
Chin,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Ordinary Expenditure,3244.447
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Ordinary Expenditure,140.058
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Ordinary Expenditure,417.997
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Ordinary Expenditure,36.153
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Ordinary Expenditure,904.498
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Ordinary Expenditure,183.236
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Ordinary Expenditure,634.449
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Ordinary Expenditure,148.608
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Ordinary Expenditure,70.724
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Ordinary Expenditure,284.236
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Ordinary Expenditure,105.65
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Ordinary Expenditure,4238.249
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Ordinary Expenditure,443.115
Chin,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Capital Expenditure,1329
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Capital Expenditure,66.268
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Capital Expenditure,0.79
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Capital Expenditure,0.36
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Capital Expenditure,38.725
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Capital Expenditure,43.855
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Capital Expenditure,8.1
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Capital Expenditure,3.25
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Capital Expenditure,53.91
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Capital Expenditure,159.374
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Capital Expenditure,2.36
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Capital Expenditure,9863.22
Chin,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Capital Expenditure,1520.1
Chin,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Grants,20
Chin,income,State Owned Enterprises,Myanma Motion Picture Enterprise,Other Income,0.4
Chin,income,State Owned Enterprises,Public Works,Other Income,14101.469
Chin,expenditure,State Owned Enterprises,Myanma Motion Picture Enterprise,Ordinary Expenditure,5.84
Chin,expenditure,State Owned Enterprises,Public Works,Ordinary Expenditure,13849.652
Chin,expenditure,State Owned Enterprises,Public Works,Capital Expenditure,542.59
Kachin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Tax Revenue,35.311
Kachin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Other Income,360.713
Kachin,income,"High Court, Advocate General, Auditor General",Courts,Other Income,17.51
Kachin,income,"High Court, Advocate General, Auditor General",Legal Offices,Other Income,0.144
Kachin,income,"High Court, Advocate General, Auditor General",Accounting Offices,Other Income,0.11
Kachin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Income,1000
Kachin,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Union Govt's Support Income,1000
Kachin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Ordinary Expenditure,219.164
Kachin,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Ordinary Expenditure,235.521
Kachin,expenditure,"High Court, Advocate General, Auditor General",Courts,Ordinary Expenditure,475.44
Kachin,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Ordinary Expenditure,214.665
Kachin,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Ordinary Expenditure,407.977
Kachin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Grants,1360.713
Kachin,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Expenditure,267.6
Kachin,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Capital Expenditure,51.4
Kachin,expenditure,"High Court, Advocate General, Auditor General",Courts,Capital Expenditure,316.254
Kachin,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Capital Expenditure,49.27
Kachin,income,"Ministries, Administrative Departments, Municipals",Excise Revenue,Tax Revenue,190.932
Kachin,income,"Ministries, Administrative Departments, Municipals",Land Revenue,Tax Revenue,458.63
Kachin,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Forest,Tax Revenue,125.304
Kachin,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Minerals ,Tax Revenue,1.122
Kachin,income,"Ministries, Administrative Departments, Municipals",Lakes/streams tax,Tax Revenue,117.585
Kachin,income,"Ministries, Administrative Departments, Municipals",Property Tax,Tax Revenue,447.87
Kachin,income,"Ministries, Administrative Departments, Municipals",Wheel Tax,Tax Revenue,78.215
Kachin,income,"Ministries, Administrative Departments, Municipals",Revenue from Regional State Owned Enterprises,State-Owned Enterprises,131.653
Kachin,income,"Ministries, Administrative Departments, Municipals",General Administration Department,Other Income,6.965
Kachin,income,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Other Income,0.032
Kachin,income,"Ministries, Administrative Departments, Municipals",Cooperative Department,Other Income,2.865
Kachin,income,"Ministries, Administrative Departments, Municipals",Small Enterprises,Other Income,0.58
Kachin,income,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Other Income,0.09
Kachin,income,"Ministries, Administrative Departments, Municipals",Agriculture Department,Other Income,12.705
Kachin,income,"Ministries, Administrative Departments, Municipals",Fisheries Department,Other Income,4.3
Kachin,income,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Other Income,1.422
Kachin,income,"Ministries, Administrative Departments, Municipals",Bee Department,Other Income,0.37
Kachin,income,"Ministries, Administrative Departments, Municipals",Forestry,Other Income,11.1
Kachin,income,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Other Income,40.308
Kachin,income,"Ministries, Administrative Departments, Municipals",Budget Department,Other Income,0.026
Kachin,income,"Ministries, Administrative Departments, Municipals",Planning Department,Other Income,0.016
Kachin,income,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Other Income,0.139
Kachin,income,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Other Income,5445.868
Kachin,income,"Ministries, Administrative Departments, Municipals",Budget Department,Union Govt's Support Income,28792.329
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Ordinary Expenditure,3530.912
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Ordinary Expenditure,86.939
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Ordinary Expenditure,258.185
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Ordinary Expenditure,11.925
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Ordinary Expenditure,57.659
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Ordinary Expenditure,607.852
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Ordinary Expenditure,69.516
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Ordinary Expenditure,95.312
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Ordinary Expenditure,201.118
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Bee Department,Ordinary Expenditure,40.26
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Ordinary Expenditure,507.053
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Ordinary Expenditure,188.333
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Ordinary Expenditure,48.973
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Ordinary Expenditure,250.144
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Ordinary Expenditure,130.875
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Public Works,Ordinary Expenditure,7679.641
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Central Inland Freight Handling Committee,Ordinary Expenditure,9.562
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Development Affairs Organizations,Ordinary Expenditure,2196.165
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",General Administration Department,Capital Expenditure,3247.131
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Cooperative Department,Capital Expenditure,0.7
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Small Enterprises,Capital Expenditure,11.18
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Agriculture Department,Capital Expenditure,7.975
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Industrial Crop Development Department,Capital Expenditure,192
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Fisheries Department,Capital Expenditure,6.494
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Capital Expenditure,46.65
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Bee Department,Capital Expenditure,6
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Forestry,Capital Expenditure,17.71
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Capital Expenditure,280.427
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Budget Department,Capital Expenditure,305.912
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Planning Department,Capital Expenditure,2.68
Kachin,expenditure,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Capital Expenditure,926.6
